Image,Accuracy,Sensitivity/Recall,Specificity,Precision,F1 Score
1.pgm,0.07655555555555556,1.0,0.034188630130618694,0.04534907762640998,0.08676351009823528
10_gt.pgm,0.15373333333333333,0.36765910953291453,0.14466231946165695,0.01790012633818738,0.034138175915592976
11_gt.pgm,0.08222222222222222,0.9416876927389963,0.008230154707600221,0.07556635396279049,0.1399058686325961
12_gt.pgm,0.13977777777777778,0.07569832402234637,0.14243230733626475,0.0036433545750315936,0.006952104871604115
13_gt.pgm,0.12515555555555555,0.3703071672354949,0.10624266941139862,0.030974255164538566,0.05716680637049455
14_gt.pgm,0.038066666666666665,0.4197419062712248,0.018368133858359722,0.021592034006871253,0.04107130989566026
15_gt.pgm,0.18406666666666666,0.2702594007641263,0.1790254860220871,0.01888993520639784,0.03531173642311027
16_gt.pgm,0.08362222222222222,0.18815331010452963,0.07837096680086353,0.010151775307373196,0.01926415677694009
17_gt.pgm,0.12836666666666666,0.18768833405079638,0.12513766197249104,0.011542789066119531,0.021748076467434003
18_gt.pgm,0.025933333333333333,0.28050827139774637,0.013561849724452108,0.013630803285373099,0.025998266782214518
19_gt.pgm,0.11486666666666667,0.2758529489553028,0.10780686391630614,0.013377454564110457,0.025517443851837355
2.pgm,0.10731111111111111,0.11572189163795803,0.10666873968474179,0.009796643423389984,0.018064043021266196
20_gt.pgm,0.10723333333333333,0.3542843691148776,0.09499486892433996,0.019023903123459442,0.03610887846543265
3.pgm,0.10885555555555555,0.35156664896441847,0.09825590834241714,0.01674148068533856,0.03196099021134326
4.pgm,0.06853333333333333,0.612773447322102,0.043372121409390514,0.02876228918079996,0.05494555047009222
5.pgm,0.07668888888888889,0.5431643625192012,0.05918496743328146,0.02120437999976013,0.04081538426022116
6.pgm,0.07692222222222223,0.6230956733698964,0.056251297308517266,0.02437861357811289,0.046921426686704834
7.pgm,0.09083333333333334,0.1216704288939052,0.08923688208484282,0.006868604488167905,0.013003148257602258
8.pgm,0.12402222222222223,0.2619671350321505,0.11727136047365415,0.014315647002173375,0.02714775784200005
9.pgm,0.14942222222222223,0.08640628409338862,0.15280330613343948,0.00544247605173101,0.010239966901117087
,0.10310944444444443,0.3724103353010688,0.08880332475683617,0.02045759983180683,0.03865223011007496
